(np.float64(95596.71184131448), np.float64(100488.5007934276)): 96412.01 at 2025-02-19 11:58:53.953281
(np.float64(95391.25184131449), np.float64(100283.0407934276)): 96206.55 at 2025-02-19 12:05:39.031548
(np.float64(95391.25184131449), np.float64(100283.0407934276)): 96206.55 at 2025-02-19 12:05:40.415520
(np.float64(95391.25184131449), np.float64(100283.0407934276)): 96206.55 at 2025-02-19 12:05:41.263193
(np.float64(95391.25184131449), np.float64(100283.0407934276)): 96206.55 at 2025-02-19 12:05:42.181355
(np.float64(95391.25184131449), np.float64(100283.0407934276)): 96206.55 at 2025-02-19 12:05:43.688043
(np.float64(95391.25184131449), np.float64(100283.0407934276)): 96206.55 at 2025-02-19 12:05:44.538582
(np.float64(95397.54184131448), np.float64(100289.3307934276)): 96212.84 at 2025-02-19 12:05:45.386123
(np.float64(95400.95184131448), np.float64(100292.7407934276)): 96216.25 at 2025-02-19 12:05:47.009870
(np.float64(95400.95184131448), np.float64(100292.7407934276)): 96216.25 at 2025-02-19 12:05:47.864553
(np.float64(95400.94184131449), np.float64(100292.7307934276)): 96216.24 at 2025-02-19 12:05:48.715975
(np.float64(95393.75184131449), np.float64(100285.5407934276)): 96209.05 at 2025-02-19 12:05:49.574660
(np.float64(95315.81184131448), np.float64(100207.6007934276)): 96131.11 at 2025-02-19 12:12:19.799202
